Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
356709.1P	P0015224	AV DUO AGUA TERMAL 300ML	2 x 300 ML	18,19	26,52	21%		AGUA TERMAL	AV-AVENE	DIRECTO
356709.1	P0000488	AGUA TERMAL DE AVENE	300 ML	10,70	15,60	21%	HEROE	AGUA TERMAL	AV-AVENE	DIRECTO
304394.6	P0000489	AGUA TERMAL DE AVENE	150 ML	8,00	11,70	21%		AGUA TERMAL	AV-AVENE	DIRECTO
203465.5	P0000930	AGUA TERMAL DE AVENE	50 ML	4,00	5,90	21%		AGUA TERMAL	AV-AVENE	DIRECTO
198844.7	P0011399	TOLERANCE LOCIÓN LIMPIADORA GELIFICADA	400 ML	15,00	21,90	21%		TOLERANCE	AV-AVENE	DIRECTO
381988.6	P0011397	TOLERANCE LOCIÓN LIMPIADORA GELIFICADA	200 ML	12,90	18,90	21%		TOLERANCE	AV-AVENE	DIRECTO
304410.3	P0011391	TOLERANCE CONTROL CREMA CALMANTE	40 ML	20,50	29,80	21%		TOLERANCE	AV-AVENE	DIRECTO
162270.9	P0011394	TOLERANCE CONTROL BALSAMO CALMANTE	40 ML	20,50	29,80	21%		TOLERANCE	AV-AVENE	DIRECTO
205556.8	P0013173	TOLERANCE HYDRA-10 FLUIDO HIDRATANTE	40 ML	19,10	27,80	21%		TOLERANCE HYDRA	AV-AVENE	DIRECTO
205555.1	P0013178	TOLERANCE HYDRA-10 CREMA HIDRATANTE	40 ML	19,10	27,80	21%		TOLERANCE HYDRA	AV-AVENE	DIRECTO
159259.0	P0015511	ROSAMED CONCENTRADO ANTI-ROJECES	30 ML	20,40	29,70	21%		ANTIROJECES	AV-AVENE	DIRECTO
214836.9	P0016117	ROSAMED CONCENTRADO HIDRATANTE PROTECTOR SPF 50+	30 ML	22,60	32,90	21%		ANTIROJECES	AV-AVENE	DIRECTO
207684.6	P0017884	PACK HYDRANCE SERUM + MINI SERUM VT CG + ATA 50 ML REGALO		24,90	36,20	21%		HYDRANCE	AV-AVENE	DIRECTO
207684.6	P0013603	HYDRANCE BOOST SÉRUM HIDRATANTE CONCENTRADO	30ML	24,90	36,20	21%		HYDRANCE	AV-AVENE	DIRECTO
192332.5	P0018247	PACK HYDRANCE AQUA GEL + AGUA MICELAR 100ML REGALO		21,50	31,30	21%		HYDRANCE	AV-AVENE	DIRECTO
192332.5	P0016800	HYDRANCE AQUA-GEL RENO	50 ML	21,50	31,30	21%	HÉROE	HYDRANCE	AV-AVENE	DIRECTO
150827.0	P0018248	PACK HYDRANCE CREMA HIDRATANTE SPF30 + AGUA MICELAR 100ML REGALO		18,30	26,60	21%		HYDRANCE	AV-AVENE	DIRECTO
150827.0	P0016797	HYDRANCE CREMA SPF30 40ML NF	40 ML	18,30	26,60	21%		HYDRANCE	AV-AVENE	DIRECTO
262717.8	P0017161	HYDRANCE CREMA HIDRATANTE LIGERA	40 ML	17,50	25,50	21%		HYDRANCE	AV-AVENE	DIRECTO
262709.3	P0003883	HYDRANCE RICA CREMA HIDRATANTE	40 ML	17,50	25,50	21%		HYDRANCE	AV-AVENE	DIRECTO
192334.9	P0008045	HYDRANCE BB EMULSION LIGERA HIDRATANTE	40 ML	18,50	26,90	21%		HYDRANCE	AV-AVENE	DIRECTO
192335.6	P0008046	HYDRANCE BB CREMA RICA HIDRATANTE	40 ML	18,50	26,90	21%		HYDRANCE	AV-AVENE	DIRECTO
161581.P	P0017045	PACK DUO AGUA MICELAR	2 X 400 ML	12,95	16,50	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
	P0017234	PROMO AGUA MICELAR	400ML	8,63	10,90	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
161581.7	P0013312	AGUA MICELAR	400 ML	12,20	17,90	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
356683.4	P0013315	LECHE LIMPIADORA SUAVIZANTE	200 ML	16,22	23,60	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
207551.1	P0014089	GEL DESMAQUILLANTE MICELAR	200 ML	14,83	21,60	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
326660.4	P0015956	LOCIÓN TÓNICA CALMANTE	200 ML	15,50	22,60	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
161234.2	P0013316	ESPUMA LIMPIADORA MATIFICANTE	150 ML	16,22	23,60	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
356675.9	P0007975	CREMA NUTRITIVA REVITALIZANTE	50 ML	23,00	33,50	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
154219.9	P0017284	GEL EXFOLIANTE SUAVIDAD	50 ML	15,50	22,60	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
326652.9	P0015399	MASCARILLA CALMANTE LUMINOSIDAD	50ML	16,63	24,20	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
177471.2	P0006763	DESMAQUILLANTE OJOS INTENSO	125 ML	13,29	19,40	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
154250.2	P0003103	DESMAQUILLANTE SUAVIDAD OJOS	125 ML	11,64	16,90	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
167501.9	P0017114	CUIDADO CALMANTE CONTORNO DE OJOS	15 ML	13,68	20,40	21%		CUIDADOS ESENCIALES	AV-AVENE	DIRECTO
210677.2	P0018246	XERACALM A D ACEITE LIMPIADOR RELIPIDIZANTE	1000 ML	15,83	20,10	21%		XERACALM	AV-AVENE	DIRECTO
191169.8	P0017116	XERACALM AD CONCENTRADO CALMANTE	40 ML	10,60	15,50	21%	HÉROE	XERACALM	AV-AVENE	DIRECTO
187766.6	P0017049	XERACALM AD BÁLSAMO RELIPIDIZANTE	400 ML	18,50	26,90	21%		XERACALM	AV-AVENE	DIRECTO
166828.8	P0017048	XERACALM AD BÁLSAMO RELIPIDIZANTE	200 ML	14,90	21,50	21%		XERACALM	AV-AVENE	DIRECTO
187929.5	P0017050	XERACALM AD CREMA RELIPIDIZANTE	400 ML	18,50	26,90	21%		XERACALM	AV-AVENE	DIRECTO
166826.4	P0016639	XERACALM AD CREMA RELIPIDIZANTE	200 ML	14,90	21,50	21%		XERACALM	AV-AVENE	DIRECTO
	P0017479	PROMO XERACALM NUTRITION GEL LIMPIADOR	750ML	11,70	14,49	21%		XERACALM	AV-AVENE	DIRECTO
208054.6	P0014085	XERACALM NUTRITION GEL LIMPIADOR	750 ML	14,40	20,90	21%		XERACALM	AV-AVENE	DIRECTO
	P0017236	PROMO XERACALM NUTRITION BALSAMO HIDRATANTE	400ML	13,20	16,50	21%		XERACALM	AV-AVENE	DIRECTO
208053.9	P0014087	XERACALM NUTRITION BALSAMO HIDRATANTE	400 ML	16,35	23,90	21%		XERACALM	AV-AVENE	DIRECTO
	P0017235	PROMO XERACALM NUTRITION LECHE HIDRATANTE	400 ML	13,20	16,50	21%		XERACALM	AV-AVENE	DIRECTO
208055.3	P0014093	XERACALM NUTRITION LECHE HIDRATANTE	400 ML	16,35	23,90	21%		XERACALM	AV-AVENE	DIRECTO
190976.3	P0014526	DESODORANTE EFICACIA 24H	50 ML	8,50	12,40	21%		CUIDADOS CORPORALES	AV-AVENE	DIRECTO
185111.6	P0004689	BODY BÁLSAMO FUNDENTE HIDRATANTE	250 ML	17,80	25,90	21%		CUIDADOS CORPORALES	AV-AVENE	DIRECTO
172579.0	P0004688	BODY GEL DE DUCHA	500 ML	11,10	16,20	21%		CUIDADOS CORPORALES	AV-AVENE	DIRECTO
228908.6	P0011339	STICK LABIOS COLD CREAM	4 G	4,65	6,90	21%		COLD CREAM	AV-AVENE	DIRECTO
184597.9	P0012016	BÁLSAMO LABIAL HIDRATACIÓN INTENSA	10 ML	6,57	9,60	21%		COLD CREAM	AV-AVENE	DIRECTO
252957.1	P0014916	CREMA DE MANOS COLD CREAM CONCENTRADA	50 ML	5,15	7,50	21%		COLD CREAM	AV-AVENE	DIRECTO
326637.6	P0003853	COLD CREAM	40 ML	8,59	12,50	21%		COLD CREAM	AV-AVENE	DIRECTO
356667.4	P0000546	PAN LIMPIADOR AL COLD CREAM	100 G	5,79	8,50	21%		COLD CREAM	AV-AVENE	DIRECTO
228908.6	P0011339	STICK LABIOS COLD CREAM	4 G	4,65	6,90	21%		COLD CREAM	AV-AVENE	CAMPAÑA
228908.6	P0012769	DUO STICK LABIAL COLD CREAM 50% 2a UNIDAD	2 x 4G	6,98	9,90	21%		COLD CREAM	AV-AVENE	CAMPAÑA
184597.9	P0012016	BÁLSAMO LABIAL HIDRATACIÓN INTENSA	10 ML	6,57	9,60	21%		COLD CREAM	AV-AVENE	CAMPAÑA
252957.1	P0014916	CREMA DE MANOS COLD CREAM CONCENTRADA	50 ML	5,15	7,50	21%		COLD CREAM	AV-AVENE	CAMPAÑA
252957.1	P0015416	DUO CREMA DE MANOS 50% 2A UNIDAD	100ML	7,73	10,90	21%		COLD CREAM	AV-AVENE	CAMPAÑA
326637.6	P0003853	COLD CREAM	40 ML	8,59	12,50	21%		COLD CREAM	AV-AVENE	CAMPAÑA
356667.4	P0000546	PAN LIMPIADOR AL COLD CREAM	100 G	5,79	8,50	21%		COLD CREAM	AV-AVENE	CAMPAÑA
212088.4	P0015512	VITAMIN ACTIV Cg SERUM LUMINOSIDAD CORRECTOR	30 ML	34,30	49,90	21%	HÉROE	VITAMIN C	AV-AVENE	DIRECTO
	P0018239	PACK SERUM VITAMIN Cg+SERUM HYDRANCE+AGUA TERMAL	30ML+10ML+50ML	34,30	49,90	21%		VITAMIN C	AV-AVENE	DIRECTO
212089.1	P0017588	VITAMIN ACTIV Cg CREMA LUMINOSIDAD INTENSIVA	50 ML	32,25	46,90	21%		VITAMIN C	AV-AVENE	DIRECTO
212090.7	P0017589	VITAMIN ACTIV C REFILL CREMA LUMINOSIDAD INTENSIVA	50 ML	28,60	41,90	21%		VITAMIN C	AV-AVENE	DIRECTO
207533.7	P0013686	HYALURON ACTIV B3 SERUM CONCENTRADO VOLUMINIZADOR	30 ML	34,30	49,90	21%		HYALURON ACTIV	AV-AVENE	DIRECTO
