LOB,ZONA,COACH,LOB.1,NOMBRE CLIENTE,Dirección,CP,Provincia,Población,TOTAL 2025 ,TOTAL YTD25,TOTAL YTD26,EVOL TOTAL,AVENE 2025,AVENE YTD 25,AVENE YTD 26,EVOL AVENE ,OPORTUNIDAD AVENE,AVENE 2025.1,AVENE YTD 25.1,AVENE YTD 26.1,EVOL AVENE .1,OPORTUNIDAD SIN SOLAR,AVENE 2025.2,AVENE YTD 25.2,AVENE YTD 26.2,EVOL AVENE .2,OPORTUNIDAD SOLAR,DUCRAY 2025,DUCRAY YTD 25,DUCRAY YTD 26,EVOL DUCRAY,OPORTUNIDAD DUCRAY,ADERMA 2025,ADERMA YTD 25,ADERMA YTD 26,EVOL ADERMA,OPORTUNIDAD ADERMA,DEXERYL 2025,DEXERYL YTD 25,DEXERYL YTD 26,EVOL DEXERYL,OPORTUNIDAD DEXERYL,Día de Fecha último pedido KF/ADA
1000103,Area 1,LAURA LUQUIN FRANQUET,1000103,GIMENEZ PARCET ARTURO,CL VALENCIA 90,8015,BARCELONA,BARCELONA,1067,895,440,-0.4772117962466488,929,811,389,-0.5203452527743526,,892,811,374,-0.54,,37,0,15,0.0,1.0,116,71,39,-0.45,1.0,22,13,12,-0.07,1.0,224,224,145,-0.35,,2026-06-19
1000321,Area 1,LAURA LUQUIN FRANQUET,1000321,PEREZ RUIZ ARANZAZU,PA MARCER 1,8810,BARCELONA,SANT PERE DE RIBES,4764,2796,1811,-0.3357946554149086,3569,2107,992,-0.5291884195538681,,3154,1692,974,-0.42,,415,415,18,-0.96,,598,388,355,-0.09,,597,301,464,0.54,,128,48,78,0.64,1.0,2026-06-28
1000355,Area 1,LAURA LUQUIN FRANQUET,1000355,PRENDES ALVARGONZALEZ ISABEL,CL JOSEP COROLEU 47,8800,BARCELONA,VILANOVA I LA GELTRU,21,21,0,-1.0,-3,-3,0,-1.0,1.0,-3,-3,0,-1.0,1.0,0,0,0,0.0,1.0,24,24,0,-1.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2025-05-22
1000377,Area 1,LAURA LUQUIN FRANQUET,1000377,SALGADO FRANQUESA MARIA,CL NOU DE LA RAMBLA 147 (FARMACIA),8004,BARCELONA,BARCELONA,1171,1171,0,-1.0,573,573,0,-1.0,,16,16,0,-1.0,1.0,557,557,0,-1.0,,589,589,0,-1.0,,9,9,0,-1.0,1.0,6,6,0,-1.0,1.0,2025-05-14
1000583,Area 1,LAURA LUQUIN FRANQUET,1000583,MONTANER FERRE JOSE,PS NARCISO BARDAJI 10,8880,BARCELONA,PARC DE CUBELLES,11380,8463,7425,-0.08983717012914094,9141,6923,5437,-0.21464682940921564,,5895,3757,3304,-0.12,,3246,3166,2133,-0.33,,1154,563,1216,1.16,,1085,977,772,-0.21,,531,442,680,0.54,,2026-07-21
1000668,Area 1,LAURA LUQUIN FRANQUET,1000668,IBAÑEZ FERNANDEZ JOSE,PS DE LA UNIO 3 (FARMACIA),8840,BARCELONA,VILADECANS,10272,5574,9740,0.7836465210766888,4829,2223,4603,1.0706252811515968,,4702,2096,4265,1.03,,127,127,338,1.67,,3228,1514,3571,1.36,,2215,1837,1566,-0.15,,975,333,796,1.39,,2026-07-29
1000711,Area 1,LAURA LUQUIN FRANQUET,1000711,PEDRAZA FERRER FERNANDO,PA SOLER I GUSTEMS (CARROS) 20,8800,BARCELONA,VILANOVA I LA GELTRU,11199,7747,8243,0.055772378194636874,8694,6267,6086,-0.02888144247646407,,5649,3300,2940,-0.11,,3045,2967,3146,0.06,,1688,968,1469,0.52,,817,512,688,0.34,,446,196,143,-0.27,,2026-06-23
1000714,Area 1,LAURA LUQUIN FRANQUET,1000714,LAGUNA TISAIRE DAVID,AV PENEDES 22,8800,BARCELONA,VILANOVA I LA GELTRU,7942,4550,3742,-0.07742893508697501,7171,4226,2981,-0.2946048272598202,,3958,2760,1746,-0.37,,3213,1466,1235,-0.16,,757,310,733,1.37,,14,14,28,0.94,1.0,304,164,607,2.7,,2026-07-08
1000731,Area 1,LAURA LUQUIN FRANQUET,1000731,SAFONT ALBERT SARA,"RD UNIVERSIDAD, 1  LOCAL 5",43882,TARRAGONA,SEGUR DE CALAFELL,11652,6931,9846,0.4313139931740615,8998,5170,7130,0.379110251450677,,5952,3608,4006,0.11,,3046,1562,3124,1.0,,1711,960,1726,0.8,,943,801,990,0.24,,101,101,219,1.16,,2026-06-29
1000930,Area 1,LAURA LUQUIN FRANQUET,1000930,FARMACIA DE L'ILLA CB,CL SANT PERE 46 (FARMACIA),8850,BARCELONA,GAVA,8010,5640,6569,0.13449059052563261,6924,4755,5569,0.17118822292323865,,5319,3192,3095,-0.03,,1605,1563,2474,0.58,,956,798,938,0.18,,130,87,62,-0.29,1.0,545,524,424,-0.19,,2026-07-23
