coach,lob_code,pos_id,client,address,postal_code,province,town,group,last_order,TOTAL_2025,TOTAL_OBJ,TOTAL_YTD1,TOTAL_YTD,AVENE SIN SOLAR_2025,AVENE SIN SOLAR_OBJ,AVENE SIN SOLAR_YTD1,AVENE SIN SOLAR_YTD,AVENE SOLAR_2025,AVENE SOLAR_OBJ,AVENE SOLAR_YTD1,AVENE SOLAR_YTD,DUCRAY_2025,DUCRAY_OBJ,DUCRAY_YTD1,DUCRAY_YTD,A-DERMA_2025,A-DERMA_OBJ,A-DERMA_YTD1,A-DERMA_YTD,DEXERYL_2025,DEXERYL_OBJ,DEXERYL_YTD1,DEXERYL_YTD
AIDA CALERO FILELLA,0001014901,C011558,VILLAFRANCA SERRANO GEMMA,CL GRAN VIA CORTS CATAL 469,08015,BARCELONA,BARCELONA,NO GRUPOS,30/07/2026,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
AIDA CALERO FILELLA,0001014901,C013997,CUCUPHARMA S.L.,CL VALENCIA 293  LCL IZQ,08009,BARCELONA,BARCELONA,NO GRUPOS,30/07/2026,70.294,84.352,56.372,15.690,26.969,32.363,21.827,7.638,11.752,14.102,11.685,104,17.291,20.749,11.314,4.823,3.639,4.366,3.209,1.804,10.643,12.772,8.337,1.321
JESICA ELISABET CACERES GAMIZ,0001000030,C025710,SANCHEZ BALLESTER NURIA,"CL SANTA ANNA, 62",17258,GIRONA,"ESTARTIT, L'",NO GRUPOS,17/12/2020,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
JESICA ELISABET CACERES GAMIZ,0001000075,C026848,"FARMÀCIA GRATACÓS NADAL , C.B.","CL GANGANELL, 46",17850,GIRONA,BESALU,NO GRUPOS,08/06/2026,6,7,0,0,,,,,,,,,0,0,0,0,0,0,0,0,6,7,0,0
JESICA ELISABET CACERES GAMIZ,0001000918,C042306,MUZAS CUCALON CONCEPCION,CL PUJADA SANT FELIU 5 (FCIA),17004,GIRONA,GIRONA,NO GRUPOS,26/06/2026,0,0,0,5.675,0,0,0,1.482,0,0,0,2.211,0,0,0,934,0,0,0,955,0,0,0,93
JESICA ELISABET CACERES GAMIZ,0001000920,C020793,FCIA  DE  CIURANA CB,RD PARE CLARET 16,17002,GIRONA,GIRONA,NO GRUPOS,17/06/2026,471,565,135,166,248,297,67,0,0,0,0,0,150,180,34,0,16,19,8,0,58,69,27,166
JESICA ELISABET CACERES GAMIZ,0001000921,C000555,FOLCH RUBAU FRANCESC,AV GRAN VIA JAUME I 61,17002,GIRONA,GIRONA,NO GRUPOS,08/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001000921,C037621,FOLCH RUBAU FRANCESC,AV GRAN VIA JAUME I 61,17002,GIRONA,GIRONA,ECOCEUTICS,08/06/2026,5.265,6.317,2.691,3.675,2.504,3.005,863,1.006,1.606,1.928,1.606,1.976,674,809,45,273,122,147,39,242,357,429,138,180
JESICA ELISABET CACERES GAMIZ,0001000926,C021771,NOGUERA NIETO TERESA,CL DE LA CREU 18,17002,GIRONA,GIRONA,NO GRUPOS,26/06/2026,8.101,9.721,7.451,6.593,2.918,3.502,2.433,1.990,2.407,2.888,2.527,2.241,1.055,1.266,878,1.070,450,541,450,240,1.270,1.524,1.163,1.052
JESICA ELISABET CACERES GAMIZ,0001000931,C000563,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,56,67,56,0,32,38,32,0,0,0,0,0,0,0,0,0,14,17,14,0,9,11,9,0
JESICA ELISABET CACERES GAMIZ,0001000931,C008069,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,3.634,4.361,3.368,1.985,827,992,650,1.463,2.323,2.787,2.323,223,62,75,62,101,276,332,276,197,146,176,57,0
JESICA ELISABET CACERES GAMIZ,0001000931,C043984,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,7.245,8.694,7.245,0,3.244,3.893,3.244,0,2.308,2.770,2.308,0,969,1.162,969,0,427,512,427,0,298,357,298,0
JESICA ELISABET CACERES GAMIZ,0001000931,C046778,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,2.049,2.459,0,5.193,1.159,1.390,0,2.415,0,0,0,861,542,650,0,947,230,275,0,569,120,143,0,402
JESICA ELISABET CACERES GAMIZ,0001000933,C013601,ALSIUS SUÑER ESTEVE,CL GIRONA 7,17820,GIRONA,BANYOLES,NO GRUPOS,29/06/2026,2.842,3.410,1.767,1.486,527,632,249,288,716,859,716,836,848,1.018,399,42,17,21,17,43,734,880,386,277
