category,brand,cn,description,format,pvl,order_type,hero,novelty
Antiedat,Avène,224632,Hyaluron Activ Procedure Sérum Peeling,30 ml,45.4,CAMPAÑA,False,True
Antiedat,Avène,224617,Hyaluron Activ Procedure Sérum Lifting,30 ml,45.4,CAMPAÑA,False,True
Antiedat,Avène,207532,Hyaluron Activ B3 Aqua-Gel,50 ml,32.25,DIRECTO,False,False
Antiedat,Avène,219947,Hyaluron Activ Procedure Crema Lifting,30 ml,47.5,DIRECTO,False,False
Antiedat,Avène,187835,DermAbsolu Día,50 ml,38.88,DIRECTO,False,False
Antiedat,Avène,188312,DermAbsolu Noche,40 ml,40.27,DIRECTO,False,False
Antiedat,Avène,188131,DermAbsolu Sérum Concentrado Remodelador,30 ml,40.27,DIRECTO,False,False
Antiedat,Avène,188130,DermAbsolu Contorno de Ojos Rellenador,15 ml,29.36,DIRECTO,False,False
Acné / Cleanance,Avène,223748,Cleanance Comedomed+ Fluido Intensivo Antiimp. SPF30,30 ml,16.6,CAMPAÑA,False,True
Acné / Cleanance,Avène,192402,Cleanance Comedomed+ Concentrado Anti-imperfecciones,30 ml,15.1,CAMPAÑA,False,True
Acné / Cleanance,Avène,214638,Cleanance Comedomed Peeling,40 ml,20.98,DIRECTO,True,False
Acné / Cleanance,Avène,179682,Cleanance Gel Limpiador,400 ml,15.5,DIRECTO,False,False
Acné / Keracnyl,Ducray,223780,Keracnyl Spray Corporal Secante Antiacné,150 ml,17.0,CAMPAÑA,False,True
Acné / Keracnyl,Ducray,179108,Keracnyl Serum Regulador Antiimperfecciones,30 ml,17.8,DIRECTO,True,False
Acné / Keracnyl,Ducray,171541,Keracnyl Gel Limpiador cara y cuerpo,400 ml,14.26,DIRECTO,False,False
Acné / Keracnyl,Ducray,159416,Keracnyl PP+ crema anti-imperfecciones,30 ml,12.91,DIRECTO,False,False
Atopia,A-Derma,170675,Exomega Crema Emoliente,400 ml,18.2,DIRECTO,True,False
Atopia,A-Derma,217714,Exomega Crema Noche Emoliente,400 ml,18.9,DIRECTO,True,False
Atopia,A-Derma,220460,Exomega Aceite Limpiador,1 L,15.6,DIRECTO,True,False
Atopia,A-Derma,311955,Exomega Gel Limpiador 2 en 1,500 ml,11.7,DIRECTO,False,False
Atopia,A-Derma,198107,Exomega Spray Emoliente,200 ml,14.6,DIRECTO,False,False
Atopia,A-Derma,222970,Exomega Gel-Crema Calmante,40 ml,17.6,DIRECTO,True,False
Anticaspa,Ducray,219962,Kelual DS Intensive,100 ml,13.8,CAMPAÑA,False,True
Anticaspa,Ducray,221302,Kelual DS Intensive Spray Calmante,100 ml,14.05,CAMPAÑA,False,True
Anticaspa,Ducray,221037,Kelual Squanorm Refrescante,400 ml,14.05,CAMPAÑA,False,True
Anticaspa,Ducray,221303,Kelual Squanorm Caspa Grasa Recarga,400 ml,12.85,CAMPAÑA,False,True
Anticaspa,Ducray,221301,Kelual Squanorm Caspa Seca Recarga,400 ml,12.85,CAMPAÑA,False,True
